"","Species","Natural_Resident","Introduced","Endemic","Likely"
"17","Anaxyrus fowleri (Hinckley, 1882)","United States of America, United States of America - Alabama, United States of America - Arkansas, United States of America - Connecticut, United States of America - Delaware, United States of America - District of Columbia, United States of America - Florida, United States of America - Georgia, United States of America - Illinois, United States of America - Indiana, United States of America - Iowa, United States of America - Kentucky, United States of America - Louisiana, United States of America - Maryland, United States of America - Massachusetts, United States of America - Michigan, United States of America - Mississippi, United States of America - Missouri, United States of America - New Hampshire, United States of America - New Jersey, United States of America - New York, United States of America - North Carolina, United States of America - Ohio, United States of America - Oklahoma, United States of America - Pennsylvania, United States of America - Rhode Island, United States of America - South Carolina, United States of America - Tennessee, United States of America - Texas, United States of America - Vermont, United States of America - Virginia, United States of America - West Virginia","","United States of America",""
"18","Anaxyrus hemiophrys (Cope, 1886)","Canada, United States of America, United States of America - Minnesota, United States of America - Montana, United States of America - North Dakota, United States of America - South Dakota","","",""
"19","Anaxyrus houstonensis (Sanders, 1953)","United States of America, United States of America - Texas","","United States of America, United States of America - Texas",""
"20","Anaxyrus microscaphus (Cope, 1867)","United States of America, United States of America - Arizona, United States of America - California, United States of America - Nevada, United States of America - New Mexico, United States of America - Utah","","United States of America",""
"21","Anaxyrus monfontanus (Gordon, Simandle, Sandmeier, and Tracy, 2020)","United States of America, United States of America - Nevada","","United States of America, United States of America - Nevada",""
"22","Anaxyrus nelsoni (Stejneger, 1893)","United States of America, United States of America - Nevada","","United States of America, United States of America - Nevada",""
"23","Anaxyrus nevadensis (Gordon, Simandle, Sandmeier, and Tracy, 2020)","United States of America, United States of America - Nevada","","United States of America, United States of America - Nevada",""
"24","Anaxyrus punctatus (Baird and Girard, 1852)","Mexico, United States of America, United States of America - Arizona, United States of America - California, United States of America - Colorado, United States of America - Kansas, United States of America - Nevada, United States of America - New Mexico, United States of America - Oklahoma, United States of America - Texas, United States of America - Utah","","",""
"25","Anaxyrus quercicus (Holbrook, 1840)","United States of America, United States of America - Alabama, United States of America - Florida, United States of America - Georgia, United States of America - Louisiana, United States of America - Mississippi, United States of America - North Carolina, United States of America - South Carolina, United States of America - Virginia","","United States of America",""
"26","Anaxyrus retiformis (Sanders and Smith, 1951)","Mexico, United States of America, United States of America - Arizona","","",""
"27","Anaxyrus speciosus (Girard, 1854)","Mexico, United States of America, United States of America - New Mexico, United States of America - Oklahoma, United States of America - Texas","","",""
"28","Anaxyrus terrestris (Bonnaterre, 1789)","United States of America, United States of America - Alabama, United States of America - Florida, United States of America - Georgia, United States of America - Louisiana, United States of America - Mississippi, United States of America - North Carolina, United States of America - South Carolina, United States of America - Virginia","","United States of America",""
"29","Anaxyrus williamsi (Gordon, Simandle, and Tracy, 2017)","United States of America, United States of America - Nevada","","United States of America, United States of America - Nevada",""
"30","Anaxyrus woodhousii (Girard, 1854)","Mexico, United States of America, United States of America - Arizona, United States of America - Arkansas, United States of America - California, United States of America - Colorado, United States of America - Idaho, United States of America - Iowa, United States of America - Kansas, United States of America - Louisiana, United States of America - Mississippi, United States of America - Missouri, United States of America - Montana, United States of America - Nebraska, United States of America - Nevada, United States of America - New Mexico, United States of America - North Dakota, United States of America - Oklahoma, United States of America - Oregon, United States of America - South Dakota, United States of America - Texas, United States of America - Utah, United States of America - Washington, United States of America - Wyoming","","",""
"31","Incilius alvarius (Girard, 1859)","Mexico, United States of America, United States of America - Arizona, United States of America - California, United States of America - New Mexico","","",""
"32","Incilius nebulifer (Girard, 1854)","Mexico, United States of America, United States of America - Alabama, United States of America - Arkansas, United States of America - Louisiana, United States of America - Mississippi, United States of America - Texas","","",""
"33","Rhinella horribilis (Wiegmann, 1833)","Belize, Colombia, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama, United States of America, United States of America - Texas, Venezuela","United States of America, United States of America - Florida","",""
"34","Rhinella marina (Linnaeus, 1758)","Bolivia, Brazil, Colombia, Ecuador, French Guiana, Guyana, Peru, Suriname, Trinidad and Tobago, Venezuela","Anguilla, Antigua and Barbuda, Aruba, Australia, Barbados, Bermuda, Bonaire, Cayman Islands, Cuba, Dominican Republic, Fiji, Grenada, Guadeloupe, Guam, Haiti, Indonesia, Indonesia - Papua Region, Jamaica, Japan, Martinique, Mauritius, Montserrat, Palau, Papua New Guinea, Philippines, Puerto Rico, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines, Samoa, Taiwan, United States of America, United States of America - Florida, United States of America - Hawaii, Virgin Islands, British, Virgin Islands, U.S.","",""
"35","Dendrobates auratus (Girard, 1855)","Colombia, Costa Rica, Nicaragua, Panama","United States of America, United States of America - Hawaii","",""
"36","Acris blanchardi Harper, 1947","Canada, Mexico, United States of America, United States of America - Arkansas, United States of America - Colorado, United States of America - Illinois, United States of America - Indiana, United States of America - Iowa, United States of America - Kansas, United States of America - Kentucky, United States of America - Louisiana, United States of America - Michigan, United States of America - Minnesota, United States of America - Missouri, United States of America - Nebraska, United States of America - New Mexico, United States of America - Ohio, United States of America - Oklahoma, United States of America - South Dakota, United States of America - Texas, United States of America - West Virginia, United States of America - Wisconsin","","",""
"37","Acris crepitans Baird, 1854","United States of America, United States of America - Alabama, United States of America - Delaware, United States of America - District of Columbia, United States of America - Florida, United States of America - Georgia, United States of America - Kentucky, United States of America - Louisiana, United States of America - Maryland, United States of America - Mississippi, United States of America - New Jersey, United States of America - New York, United States of America - North Carolina, United States of America - Pennsylvania, United States of America - South Carolina, United States of America - Tennessee, United States of America - Virginia, United States of America - West Virginia","","",""
"38","Acris gryllus (LeConte, 1825)","United States of America, United States of America - Alabama, United States of America - Florida, United States of America - Georgia, United States of America - Louisiana, United States of America - Mississippi, United States of America - North Carolina, United States of America - South Carolina, United States of America - Tennessee, United States of America - Virginia","","United States of America",""
"39","Dryophytes andersonii (Baird, 1854)","United States of America, United States of America - Alabama, United States of America - Florida, United States of America - New Jersey, United States of America - North Carolina, United States of America - South Carolina","","United States of America",""
"40","Dryophytes arenicolor (Cope, 1866)","Mexico, United States of America, United States of America - Arizona, United States of America - Colorado, United States of America - Nevada, United States of America - New Mexico, United States of America - Texas, United States of America - Utah","","",""
"41","Dryophytes avivoca (Viosca, 1928)","United States of America, United States of America - Alabama, United States of America - Arkansas, United States of America - Florida, United States of America - Georgia, United States of America - Illinois, United States of America - Indiana, United States of America - Kentucky, United States of America - Louisiana, United States of America - Mississippi, United States of America - Missouri, United States of America - Oklahoma, United States of America - South Carolina, United States of America - Tennessee","","United States of America",""
"42","Dryophytes chrysoscelis (Cope, 1880)","Canada, United States of America, United States of America - Alabama, United States of America - Arkansas, United States of America - Connecticut, United States of America - Delaware, United States of America - District of Columbia, United States of America - Florida, United States of America - Georgia, United States of America - Illinois, United States of America - Indiana, United States of America - Iowa, United States of America - Kansas, United States of America - Kentucky, United States of America - Louisiana, United States of America - Maine, United States of America - Maryland, United States of America - Massachusetts, United States of America - Michigan, United States of America - Minnesota, United States of America - Mississippi, United States of America - Missouri, United States of America - Nebraska, United States of America - New Hampshire, United States of America - New Jersey, United States of America - New York, United States of America - North Carolina, United States of America - North Dakota, United States of America - Ohio, United States of America - Oklahoma, United States of America - Pennsylvania, United States of America - Rhode Island, United States of America - South Carolina, United States of America - South Dakota, United States of America - Tennessee, United States of America - Texas, United States of America - Vermont, United States of America - Virginia, United States of America - West Virginia, United States of America - Wisconsin","","",""
"43","Dryophytes cinereus (Schneider, 1799)","United States of America, United States of America - Alabama, United States of America - Arkansas, United States of America - Delaware, United States of America - District of Columbia, United States of America - Florida, United States of America - Georgia, United States of America - Illinois, United States of America - Indiana, United States of America - Kentucky, United States of America - Maryland, United States of America - Mississippi, United States of America - Missouri, United States of America - North Carolina, United States of America - Oklahoma, United States of America - Pennsylvania, United States of America - South Carolina, United States of America - Tennessee, United States of America - Texas, United States of America - Virginia","Bahamas, Puerto Rico, United States of America - Missouri, United States of America - Texas","",""
"44","Dryophytes femoralis (Daudin, 1800)","United States of America, United States of America - Alabama, United States of America - Florida, United States of America - Georgia, United States of America - Louisiana, United States of America - Mississippi, United States of America - North Carolina, United States of America - South Carolina, United States of America - Virginia","","United States of America",""
"45","Dryophytes gratiosus (LeConte, 1856)","United States of America, United States of America - Alabama, United States of America - Delaware, United States of America - Florida, United States of America - Georgia, United States of America - Kentucky, United States of America - Louisiana, United States of America - Maryland, United States of America - Mississippi, United States of America - New Jersey, United States of America - North Carolina, United States of America - South Carolina, United States of America - Tennessee, United States of America - Virginia","","United States of America",""
"46","Dryophytes squirellus (Daudin, 1800)","United States of America, United States of America - Alabama, United States of America - Arkansas, United States of America - Florida, United States of America - Georgia, United States of America - Louisiana, United States of America - Mississippi, United States of America - North Carolina, United States of America - South Carolina, United States of America - Texas, United States of America - Virginia","Bahamas","United States of America",""
"47","Dryophytes versicolor (LeConte, 1825)","Canada, United States of America, United States of America - Arkansas, United States of America - Connecticut, United States of America - Delaware, United States of America - District of Columbia, United States of America - Illinois, United States of America - Indiana, United States of America - Iowa, United States of America - Kansas, United States of America - Kentucky, United States of America - Louisiana, United States of America - Maine, United States of America - Maryland, United States of America - Massachusetts, United States of America - Michigan, United States of America - Minnesota, United States of America - Missouri, United States of America - New Hampshire, United States of America - New Jersey, United States of America - New York, United States of America - North Carolina, United States of America - Ohio, United States of America - Oklahoma, United States of America - Pennsylvania, United States of America - Rhode Island, United States of America - Tennessee, United States of America - Texas, United States of America - Vermont, United States of America - Virginia, United States of America - West Virginia, United States of America - Wisconsin","","",""
"48","Dryophytes wrightorum (Taylor, 1939)","Mexico, United States of America, United States of America - Arizona, United States of America - New Mexico","","",""
"49","Osteopilus septentrionalis (Duméril and Bibron, 1841)","Bahamas, Cayman Islands, Cuba, Virgin Islands, British","Anguilla, Antigua and Barbuda, Costa Rica, Curaçao, Dominica, Dominican Republic, Haiti, Jamaica, Puerto Rico, Saint Barthélemy, Saint Kitts and Nevis, Saint Vincent and the Grenadines, Saint-Martin/Sint Maarten, Turks and Caicos Islands, United States of America, United States of America - Florida, United States of America - Georgia, United States of America - Hawaii, United States of America - Louisiana, United States of America - Mississippi, Virgin Islands, U.S.","",""
"50","Pseudacris brachyphona (Cope, 1889)","United States of America, United States of America - Alabama, United States of America - Indiana, United States of America - Kentucky, United States of America - Maryland, United States of America - Ohio, United States of America - Pennsylvania, United States of America - Tennessee, United States of America - Virginia, United States of America - West Virginia","","United States of America",""
"51","Pseudacris brimleyi Brandt and Walker, 1933","United States of America, United States of America - Georgia, United States of America - North Carolina, United States of America - South Carolina, United States of America - Virginia","","United States of America",""
"52","Pseudacris cadaverina (Cope, 1866)","Mexico, United States of America, United States of America - California","","",""
"53","Pseudacris clarkii (Baird, 1854)","Mexico, United States of America, United States of America - Kansas, United States of America - New Mexico, United States of America - Oklahoma, United States of America - Texas","","",""
"54","Pseudacris collinsorum Ospina, Tieu, Apodaca, and Lemmon, 2020","United States of America, United States of America - Alabama, United States of America - Georgia, United States of America - Mississippi, United States of America - North Carolina, United States of America - Tennessee","","United States of America",""
"55","Pseudacris crucifer (Wied-Neuwied, 1838)","Canada, United States of America, United States of America - Alabama, United States of America - Arkansas, United States of America - Connecticut, United States of America - District of Columbia, United States of America - Florida, United States of America - Georgia, United States of America - Illinois, United States of America - Indiana, United States of America - Iowa, United States of America - Kansas, United States of America - Kentucky, United States of America - Louisiana, United States of America - Maine, United States of America - Maryland, United States of America - Massachusetts, United States of America - Michigan, United States of America - Minnesota, United States of America - Mississippi, United States of America - Missouri, United States of America - New Hampshire, United States of America - New Jersey, United States of America - New York, United States of America - North Carolina, United States of America - Ohio, United States of America - Oklahoma, United States of America - Pennsylvania, United States of America - Rhode Island, United States of America - South Carolina, United States of America - South Dakota, United States of America - Tennessee, United States of America - Texas, United States of America - Vermont, United States of America - Virginia, United States of America - West Virginia, United States of America - Wisconsin","Cuba","",""
"56","Pseudacris feriarum (Baird, 1854)","United States of America, United States of America - Alabama, United States of America - Georgia, United States of America - Kentucky, United States of America - Maryland, United States of America - Mississippi, United States of America - Missouri, United States of America - North Carolina, United States of America - Pennsylvania, United States of America - South Carolina, United States of America - Tennessee, United States of America - Virginia","","United States of America",""
"57","Pseudacris fouquettei Lemmon, Lemmon, Collins, and Cannatella, 2008","United States of America, United States of America - Arkansas, United States of America - Louisiana, United States of America - Mississippi, United States of America - Missouri, United States of America - Oklahoma, United States of America - Tennessee, United States of America - Texas","","United States of America",""
"58","Pseudacris illinoensis Smith, 1951","United States of America, United States of America - Arkansas, United States of America - Illinois, United States of America - Missouri","","United States of America",""
"59","Pseudacris kalmi Harper, 1955","United States of America, United States of America - Delaware, United States of America - Maryland, United States of America - New Jersey, United States of America - Pennsylvania","","United States of America",""
"60","Pseudacris maculata (Agassiz, 1850)","Canada, United States of America, United States of America - Arizona, United States of America - Colorado, United States of America - Idaho, United States of America - Indiana, United States of America - Iowa, United States of America - Kansas, United States of America - Minnesota, United States of America - Missouri, United States of America - Montana, United States of America - Nebraska, United States of America - New Mexico, United States of America - New York, United States of America - North Dakota, United States of America - Oklahoma, United States of America - South Dakota, United States of America - Utah, United States of America - Vermont, United States of America - Wisconsin, United States of America - Wyoming","","",""
"61","Pseudacris nigrita (LeConte, 1825)","United States of America, United States of America - Alabama, United States of America - Florida, United States of America - Georgia, United States of America - Mississippi, United States of America - North Carolina, United States of America - South Carolina, United States of America - Virginia","","United States of America",""
"62","Pseudacris ocularis (Holbrook, 1838)","United States of America, United States of America - Alabama, United States of America - Florida, United States of America - Georgia, United States of America - North Carolina, United States of America - South Carolina, United States of America - Virginia","","United States of America",""
"63","Pseudacris ornata (Holbrook, 1836)","United States of America, United States of America - Alabama, United States of America - Florida, United States of America - Georgia, United States of America - Louisiana, United States of America - Mississippi, United States of America - North Carolina, United States of America - South Carolina","","United States of America",""
"64","Pseudacris regilla (Baird and Girard, 1852)","Canada, Mexico, United States of America, United States of America - Arizona, United States of America - California, United States of America - Idaho, United States of America - Montana, United States of America - Nevada, United States of America - Oregon, United States of America - Utah, United States of America - Washington","United States of America - Alaska","",""
"65","Pseudacris streckeri Wright and Wright, 1933","United States of America, United States of America - Arkansas, United States of America - Kansas, United States of America - Louisiana, United States of America - Oklahoma, United States of America - Texas","","United States of America",""
"66","Pseudacris triseriata (Wied-Neuwied, 1838)","Canada, United States of America, United States of America - Illinois, United States of America - Indiana, United States of America - Kentucky, United States of America - Michigan, United States of America - New York, United States of America - Ohio, United States of America - Pennsylvania","","",""
"67","Smilisca baudinii (Duméril and Bibron, 1841)","Belize, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, United States of America, United States of America - Texas","","",""
"68","Smilisca fodiens (Boulenger, 1882)","Mexico, United States of America, United States of America - Arizona","","",""
"69","Ranoidea caerulea (White, 1790)","Australia, Indonesia, Indonesia - Papua Region, Papua New Guinea","New Zealand, United States of America, United States of America - Florida","",""
"70","Leptodactylus fragilis (Brocchi, 1877)","Belize, Colombia, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama, United States of America, United States of America - Texas, Venezuela","Colombia, Cuba","",""
"71","Gastrophryne carolinensis (Holbrook, 1835)","United States of America, United States of America - Alabama, United States of America - Arkansas, United States of America - Florida, United States of America - Georgia, United States of America - Illinois, United States of America - Kansas, United States of America - Kentucky, United States of America - Louisiana, United States of America - Maryland, United States of America - Mississippi, United States of America - Missouri, United States of America - North Carolina, United States of America - Oklahoma, United States of America - South Carolina, United States of America - Tennessee, United States of America - Texas, United States of America - Virginia","Bahamas, Cayman Islands, Puerto Rico","United States of America",""
"72","Gastrophryne mazatlanensis (Taylor, 1943)","Mexico, United States of America, United States of America - Arizona, United States of America - New Mexico","","",""
"73","Gastrophryne olivacea (Hallowell, 1856)","Mexico, United States of America, United States of America - Arkansas, United States of America - Colorado, United States of America - Kansas, United States of America - Missouri, United States of America - Nebraska, United States of America - New Mexico, United States of America - Oklahoma, United States of America - Texas","","",""
"74","Hypopachus variolosus (Cope, 1866)","Belize, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, United States of America, United States of America - Texas","","",""
"75","Xenopus laevis (Daudin, 1802)","Angola, Botswana, Eswatini, Lesotho, Malawi, Mozambique, Namibia, South Africa, Zambia, Zimbabwe","Belgium, Chile, China, People's Republic of, France, Indonesia, Italy, Japan, Mexico, Portugal, Spain, United Kingdom, United States of America, United States of America - Arizona, United States of America - California, United States of America - Florida","",""
"76","Xenopus tropicalis (Gray, 1864)","Benin, Burkina Faso, Cameroon, Equatorial Guinea, Gambia, Ghana, Guinea, Guinea-Bissau, Ivory Coast, Liberia, Nigeria, Senegal, Sierra Leone, Togo","United States of America, United States of America - Florida","","NA"
"77","Amerana aurora (Baird and Girard, 1852)","Canada, United States of America, United States of America - Alaska, United States of America - California, United States of America - Nevada","","",""
"78","Amerana boylii (Baird, 1854)","Mexico, United States of America, United States of America - California, United States of America - Oregon","","",""
"79","Amerana cascadae (Slater, 1939)","United States of America, United States of America - California, United States of America - Oregon, United States of America - Washington","","United States of America",""
"80","Amerana draytonii (Baird and Girard, 1852)","Mexico, United States of America, United States of America - California","","",""
"81","Amerana luteiventris (Thompson, 1913)","Canada, United States of America, United States of America - Alaska, United States of America - Idaho, United States of America - Montana, United States of America - Nevada, United States of America - Oregon, United States of America - Utah, United States of America - Washington, United States of America - Wyoming","","",""
"82","Amerana muscosa (Camp, 1917)","United States of America, United States of America - California","","United States of America, United States of America - California",""
"83","Amerana pretiosa (Baird and Girard, 1853)","Canada, United States of America, United States of America - California, United States of America - Oregon, United States of America - Washington","","",""
"84","Amerana sierrae (Camp, 1917)","United States of America, United States of America - California, United States of America - Nevada","","United States of America",""
"85","Aquarana catesbeiana (Shaw, 1802)","Canada, United States of America, United States of America - Alabama, United States of America - Arkansas, United States of America - Colorado, United States of America - Connecticut, United States of America - Delaware, United States of America - District of Columbia, United States of America - Florida, United States of America - Georgia, United States of America - Illinois, United States of America - Indiana, United States of America - Iowa, United States of America - Kansas, United States of America - Kentucky, United States of America - Louisiana, United States of America - Maine, United States of America - Maryland, United States of America - Massachusetts, United States of America - Michigan, United States of America - Minnesota, United States of America - Mississippi, United States of America - Missouri, United States of America - Nebraska, United States of America - New Hampshire, United States of America - New Jersey, United States of America - New Mexico, United States of America - New York, United States of America - North Carolina, United States of America - Ohio, United States of America - Oklahoma, United States of America - Pennsylvania, United States of America - Rhode Island, United States of America - South Carolina, United States of America - South Dakota, United States of America - Tennessee, United States of America - Texas, United States of America - Vermont, United States of America - Virginia, United States of America - West Virginia, United States of America - Wisconsin","Argentina, Belgium, Brazil, Chile, China, People's Republic of, Colombia, Costa Rica, Cuba, Dominican Republic, Ecuador, France, Greece, Guyana, Haiti, Hong Kong, Indonesia, Israel, Italy, Jamaica, Japan, Korea, Democratic People's Republic (North), Korea, Republic of (South), Malaysia, Malaysia, West (Peninsular), Mexico, Netherlands, Paraguay, Peru, Puerto Rico, Russia, Singapore, Spain, Taiwan, Thailand, United Kingdom, United States of America, United States of America - Arizona, United States of America - California, United States of America - Hawaii, United States of America - Idaho, United States of America - Iowa, United States of America - Minnesota, United States of America - Montana, United States of America - Nevada, United States of America - New Mexico, United States of America - Oregon, United States of America - Utah, United States of America - Washington, United States of America - Wyoming, Uruguay, Venezuela","",""
"86","Aquarana clamitans (Latreille, 1801)","Canada, United States of America, United States of America - Alabama, United States of America - Arkansas, United States of America - Connecticut, United States of America - Delaware, United States of America - District of Columbia, United States of America - Florida, United States of America - Georgia, United States of America - Illinois, United States of America - Indiana, United States of America - Iowa, United States of America - Kansas, United States of America - Kentucky, United States of America - Louisiana, United States of America - Maine, United States of America - Maryland, United States of America - Massachusetts, United States of America - Michigan, United States of America - Minnesota, United States of America - Mississippi, United States of America - Missouri, United States of America - New Hampshire, United States of America - New Jersey, United States of America - New York, United States of America - North Carolina, United States of America - Ohio, United States of America - Oklahoma, United States of America - Pennsylvania, United States of America - Rhode Island, United States of America - South Carolina, United States of America - Tennessee, United States of America - Texas, United States of America - Vermont, United States of America - Virginia, United States of America - West Virginia, United States of America - Wisconsin","Canada, United States of America - Hawaii, United States of America - Iowa, United States of America - Utah, United States of America - Washington","",""
"87","Aquarana grylio (Stejneger, 1901)","United States of America, United States of America - Alabama, United States of America - Florida, United States of America - Georgia, United States of America - Louisiana, United States of America - Mississippi, United States of America - South Carolina, United States of America - Texas","Bahamas, China, People's Republic of, Puerto Rico","United States of America",""
"88","Aquarana heckscheri (Wright, 1924)","United States of America, United States of America - Alabama, United States of America - Florida, United States of America - Georgia, United States of America - Mississippi, United States of America - North Carolina, United States of America - South Carolina","China, People's Republic of","United States of America",""
"89","Aquarana okaloosae (Moler, 1985)","United States of America, United States of America - Florida","","United States of America, United States of America - Florida",""
"90","Aquarana septentrionalis (Baird, 1854)","Canada, United States of America, United States of America - Maine, United States of America - Michigan, United States of America - Minnesota, United States of America - New Hampshire, United States of America - New York, United States of America - Vermont, United States of America - Wisconsin","","",""
"91","Aquarana virgatipes (Cope, 1891)","United States of America, United States of America - Delaware, United States of America - Florida, United States of America - Georgia, United States of America - Maryland, United States of America - New Jersey, United States of America - North Carolina, United States of America - South Carolina, United States of America - Virginia","","United States of America",""
"92","Boreorana sylvatica (LeConte, 1825)","Canada, United States of America, United States of America - Alabama, United States of America - Alaska, United States of America - Arkansas, United States of America - Colorado, United States of America - Connecticut, United States of America - Delaware, United States of America - District of Columbia, United States of America - Georgia, United States of America - Idaho, United States of America - Illinois, United States of America - Indiana, United States of America - Iowa, United States of America - Kentucky, United States of America - Maine, United States of America - Maryland, United States of America - Massachusetts, United States of America - Michigan, United States of America - Minnesota, United States of America - Missouri, United States of America - New Hampshire, United States of America - New Jersey, United States of America - New York, United States of America - North Carolina, United States of America - North Dakota, United States of America - Ohio, United States of America - Pennsylvania, United States of America - Rhode Island, United States of America - South Carolina, United States of America - South Dakota, United States of America - Tennessee, United States of America - Vermont, United States of America - Virginia, United States of America - West Virginia, United States of America - Wisconsin, United States of America - Wyoming","","",""
"93","Glandirana rugosa (Temminck and Schlegel, 1838)","Japan","United States of America, United States of America - Hawaii","Japan",""
"94","Lithobates areolatus (Baird and Girard, 1852)","United States of America, United States of America - Alabama, United States of America - Arkansas, United States of America - Illinois, United States of America - Indiana, United States of America - Iowa, United States of America - Kansas, United States of America - Kentucky, United States of America - Louisiana, United States of America - Mississippi, United States of America - Missouri, United States of America - Oklahoma, United States of America - Tennessee, United States of America - Texas","","United States of America",""
"95","Lithobates berlandieri (Baird, 1859)","Mexico, United States of America, United States of America - New Mexico, United States of America - Texas","Mexico, United States of America - Arizona, United States of America - California","",""
"96","Lithobates blairi (Mecham, Littlejohn, Oldham, Brown, and Brown, 1973)","United States of America, United States of America - Arizona, United States of America - Arkansas, United States of America - Colorado, United States of America - Illinois, United States of America - Indiana, United States of America - Iowa, United States of America - Kansas, United States of America - Missouri, United States of America - Nebraska, United States of America - New Mexico, United States of America - Oklahoma, United States of America - South Dakota, United States of America - Texas","","United States of America",""
"97","Lithobates capito (LeConte, 1855)","United States of America, United States of America - Alabama, United States of America - Florida, United States of America - Georgia, United States of America - Mississippi, United States of America - North Carolina, United States of America - South Carolina, United States of America - Tennessee","","United States of America",""
"98","Lithobates chiricahuensis (Platz and Mecham, 1979)","Mexico, United States of America, United States of America - Arizona, United States of America - New Mexico","","",""
"99","Lithobates fisheri (Stejneger, 1893)","United States of America, United States of America - Arizona, United States of America - Nevada, United States of America - New Mexico","","United States of America",""
"100","Lithobates kauffeldi (Feinberg, Newman, Watkins-Colwell, Schlesinger, Zarate, Curry, Shaffer, and Burger, 2014)","United States of America, United States of America - Delaware, United States of America - Maryland, United States of America - New Jersey, United States of America - New York, United States of America - North Carolina, United States of America - Pennsylvania, United States of America - Virginia","","United States of America",""
"101","Lithobates onca (Cope, 1875)","United States of America, United States of America - Arizona, United States of America - Nevada, United States of America - Utah","","United States of America",""
